Crateús;Russas;Quixadá;Sobral;CC;CCA;CH;CT;FFOE;FD;FACED;FEAAC;FAMED;LABOMAR;ICA;IEFES;UFCV;UFC
19,36;11,76;0;19,38;12,55;15,93;19,27;12,83;43,75;3,85;10,53;13,08;41,81;24;20;26,92;3,03;18,6
3,23;0;7,69;23,75;28,34;21,24;18,08;24,6;18,75;0;21,05;14,02;28,69;16;54;26,92;9,09;22,42
9,68;2,94;5,77;11,25;17,41;21,24;11,44;18,18;13,39;5,77;12,28;11,21;18,03;28;28;7,69;27,27;15,39
6,45;5,88;7,69;31,25;34,81;30,97;45,18;50,8;56,25;7,69;49,13;22,43;46,73;36;56;42,31;57,57;38,17
54,84;26,47;5,77;28,13;22,67;38,05;25,3;35,29;42,86;7,7;24,56;21,5;36,06;28;41;50;30,3;29,86
45,16;26,47;9,62;24,38;23,48;41,59;39,15;20,85;21,43;53,84;21,05;41,12;41,81;52;41;46,16;39,39;31,65
3,23;8,82;7,69;30,01;31,99;23;43,38;43,85;26,78;25;59,65;31,77;49,18;48;48;46,15;36,36;35,09
48,39;20,59;9,62;47,51;22,67;27,43;45,18;25,67;33,04;38,46;36,84;31,77;49,19;96;57;46,15;42,42;36,45
48,39;20,59;15,38;43,13;27,13;30,08;46,38;19,79;32,14;34,61;45,61;52,33;46,73;96;71;38,46;48,48;38,67
70,97;20,59;23,07;48,13;46,55;63,72;43,98;44,92;56,25;42,31;42,11;55,14;65,57;88;68;53,84;63,63;51,42
58,06;23,53;13,46;52,51;12,95;22,12;26,51;21,39;21,42;40,39;33,33;36,45;34,43;92;45;26,93;39,39;30,23
35,48;2,94;9,61;21,26;12,55;36,28;32,53;28,88;18,75;17,31;38,59;32,71;29,51;20;38;30,77;36,36;25,68
58,07;14,7;7,69;48,13;35,23;57,52;46,98;41,18;57,14;38,46;47,37;31,78;54,09;44;81;53,84;72,72;46,31
